title,tag,image,created_date,content
Enlarging eCommerce photos using Deep-Image - case study,"['Deep Image', 'image processing', 'image enlargement']",../images/blog/content/images/2020/03/felgi/rims1.jpg,31 Mar 2020,"
                    If you are an eCommerce owner you know that hi-resolution and quality images are important. They can catch customersâ attention, significantly raising conversion rates and sales. When products are greatly presented, clients buy them with a good grace.

eCommerce was rapidly growing year by year. ...
                "
Enhancing marketplace photos using AI web app (Deep-Image) - case study,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces']",../images/blog/content/images/2020/03/marketplace-header.jpg,10 Mar 2020,"
                    In this case study, I would like to show how you can improve photos quality and by that influence directly conversion rate and KPIs in marketplaces such as Booking, Belvilla, Airbnb, Hotels, Kayak, and others.

Letâs start with the fact that 90% of online buyers say that photo quality is the most...
                "
Batch image processing with Deep-Image.ai using Google Drive,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive']",../images/blog/content/images/2020/03/blogpost-batch-processing.jpg,04 Mar 2020,"
                    Batch processing is finally available in Deep-Image.ai!

This feature allows you to process many images simultaneously. If youâre a photographer, run an animation studio or make videos - batch processing can significantly speed up and support your workflow.

Currently batch-processing allows to e...
                "
SDR Mobile for Android now in Play Store!,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source']",../images/blog/content/images/2020/02/sdr-mobile-android-app/sdr-mobile-image.jpg,24 Feb 2020,"
                    SDR Mobile for Android now available in Google Play!

SDR MakerSpace Android mobile application is finally publicly available in Google Play store.

If you havenât heard anything about the app, or would like to know more about the project, I invite you to read our announcement of the project in c...
                "
Top 10 Artificial Intelligence (AI) Image Processing Apps,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile']",../images/blog/content/images/2019/12/top10-image-processing-apps/top10_imageprocessing_apps.jpg,03 Dec 2019,"
                    Artificial Intelligence applications are present everywhere. They have become a part of our daily life, even if weâre not aware of that. If you havenât tried one yet, I definitely recommend you to do it.

Additionally, if you are into AI/ML based applications as we are, we definitely recommend yo...
                "
âConquest of spaceâ with Libre Space Foundation and European Space Agency!,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile']",../images/blog/content/images/2019/11/conquest-of-space/conquest-of-space-EN.jpg,20 Nov 2019,"
                    We have some big news we could not wait to share with you all!

TEONITE has partnered up with Libre Space Foundation for SDR Makerspace project, funded by European Space Agency (ESA), and we couldnât be more excited about such cooperation!

âSDR Makerspace is an initiative of the European Space A...
                "
Deep Image 2.0 in numbers - upscale image without losing quality,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Python', 'Deep Learning', 'image enlarger', 'Machine Learning', 'TensorFlow', 'AI', 'Keras']",../images/blog/content/images/2019/10/deep-image-in-numbers/deepimage_head.jpg,28 Oct 2019,"
                    In 2017 we released the first version of our image processing app, Deep Image. After nearly 2 years the application is still alive and what is the most important for us - people all over the world find it very useful, regularly using it!

If you havenât heard about Deep Image I invite you to read...
                "
What is Data Warehouse and how it works - real examples,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Python', 'Deep Learning', 'image enlarger', 'Machine Learning', 'TensorFlow', 'AI', 'Keras', 'data warehouse', 'data science', 'data processing', 'business data', 'business solutions', 'business software']",../images/blog/content/images/2019/10/what_is_data_warehouse/dw_en.jpg,21 Oct 2019,"
                    What is a Data Warehouse?

A data warehouse is a system that can pull a lot of data from many different sources within an organization and present it in a different, usually user-friendly way. It is often used for analyzing and reporting.

Its main purpose is to make important business decisions ...
                "
TEONITE recognized as a Leading Custom Software Developer by Clutch!,"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Python', 'Deep Learning', 'image enlarger', 'Machine Learning', 'TensorFlow', 'AI', 'Keras', 'data warehouse', 'data science', 'data processing', 'business data', 'business solutions', 'business software', 'custom software development', 'business', 'business solutions', 'business software', 'custom software']",../images/blog/content/images/2019/10/clutch_report/clutch_eng.jpg,17 Oct 2019,"
                    TEONITE is proud to have been named one of the top business service providers in Poland by Clutch!

Since 2010, our team has built and designed high-quality solutions for over 100 satisfied clients.

âWe are really glad that our efforts and value included in our realizations have been appreciated...
                "
Business value in Artificial Intelligence (AI),"['Deep Image', 'image processing', 'image enlargement', 'Deep Image', 'image processing', 'image enhancement', 'marketplaces', 'Deep Image', 'image processing', 'image upscale', 'enhancing app', 'batch processing', 'Google Drive', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Kotlin', 'open source', 'Top 10', 'Artificial Intelligence', 'AI', 'Machine Learning', 'ML', 'applications', 'web', 'mobile', 'SDR', 'Software defined radio', 'European Space Agency', 'Libre Space Foundation', 'Android', 'Data Science', 'mobile', 'Python', 'Deep Learning', 'image enlarger', 'Machine Learning', 'TensorFlow', 'AI', 'Keras', 'data warehouse', 'data science', 'data processing', 'business data', 'business solutions', 'business software', 'custom software development', 'business', 'business solutions', 'business software', 'custom software', 'business', 'value', 'artificial intelligence', 'software', 'solutions']",../images/blog/content/images/2019/10/business-value-in-ai/business-value-in-ai-eng.jpg,14 Oct 2019,"
                    Artificial Intelligence technologies have advanced significantly in recent years, impacting various disciplines from healthcare to customer service, and itâs not going to stop anytime soon. According to the McKinsey estimation âAI technologies have the potential to create between $3.5 trillion an...
                "
